1,10,60,10,3,30,30,3,50
2,20,68,10,3,29,30,3,50
3,20,32,11,3,30,30,3,50
4,20,16,12,3,30,30,2,50
5,20,10,12,3,30,30,2,50
6,20,8,13,3,30,29,2,50
7,20,10,14,3,30,29,2,50
8,20,12,15,3,30,29,2,50
9,20,11,15,2,30,29,2,50
10,20,8,16,3,30,29,2,50
11,20,12,16,3,30,29,2,50
12,20,10,17,3,30,29,2,50
13,19,10,17,3,30,28,2,50
14,18,14,18,3,30,28,2,50
15,18,11,18,4,30,28,2,50
16,20,16,18,4,30,28,2,50
17,20,15,18,4,30,27,3,50
18,20,9,18,4,30,28,3,50
19,20,11,19,4,30,27,3,51
20,17,10,20,4,30,27,3,51
21,15,13,21,4,30,27,3,52
22,14,10,22,4,30,28,2,52
23,14,6,23,4,30,28,2,52
24,14,9,23,3,30,28,2,52
25,14,9,24,3,30,28,2,53
26,14,8,24,4,30,28,2,53
27,13,10,25,4,30,28,2,53
28,12,12,25,4,30,28,2,53
29,12,10,26,4,30,28,2,52
30,13,10,26,4,30,28,1,52
31,12,8,26,4,30,28,1,52
32,12,10,26,4,30,28,1,52
33,12,8,27,5,31,28,1,52
34,12,12,27,5,31,28,2,52
35,12,15,25,5,31,28,2,52
36,12,15,24,5,31,28,2,52
37,13,9,24,5,31,27,2,52
38,12,11,25,5,31,27,2,52
39,11,10,24,5,32,27,2,52
40,10,12,24,5,31,26,2,52
41,10,12,25,6,31,26,2,52
42,10,17,24,6,31,26,2,53
43,10,18,23,6,32,26,2,53
44,12,22,22,6,32,26,2,51
45,12,14,22,6,32,27,1,51
46,13,11,23,6,32,26,2,51
47,12,10,24,5,31,27,2,51
48,12,14,24,5,31,26,2,51
49,12,15,25,5,31,27,1,51
50,12,11,25,5,32,27,1,51
51,12,8,26,6,32,28,1,50
52,12,7,26,5,32,28,1,50
53,12,13,26,5,32,28,1,50
54,12,13,26,5,31,28,1,51
55,12,17,26,5,31,28,1,51
56,12,16,26,5,31,28,1,51
57,12,13,26,6,33,28,1,51
58,12,11,27,5,32,28,1,51
59,11,13,26,5,32,28,1,51
60,10,15,27,6,33,29,1,52
61,10,13,28,5,32,29,1,52
62,10,14,28,5,32,29,1,51
63,10,12,29,5,33,29,1,52
64,10,14,29,5,33,29,1,52
65,10,13,29,6,33,29,1,52
66,10,14,29,6,34,29,1,52
67,10,14,29,6,34,29,1,52
68,10,16,28,6,34,29,1,52
69,10,12,28,7,34,29,1,52
70,10,9,29,6,32,28,1,52
71,10,6,29,6,33,28,1,51
72,10,6,30,8,36,30,1,51
73,10,8,30,8,36,29,1,52
74,11,4,30,8,36,30,2,52
75,10,5,31,8,36,29,2,52
76,10,6,32,8,36,29,2,52
77,10,5,31,8,35,29,2,53
78,10,8,30,8,35,29,2,53
79,10,11,29,8,35,29,2,53
80,10,11,28,7,35,30,1,53
81,11,12,27,7,35,30,1,53
82,10,12,27,7,35,30,2,53
83,10,11,27,8,35,30,2,53
84,10,8,28,7,36,31,2,53
85,10,6,29,7,36,31,2,54
86,10,5,30,8,36,31,2,54
87,10,6,30,8,36,30,3,54
88,10,6,30,8,36,31,3,54
89,10,4,31,9,36,31,3,54
90,12,6,30,8,36,31,3,54
91,11,6,30,8,36,30,3,54
92,10,6,31,8,36,30,3,54
